Timestamp,Survey,Job Title,Gender,City,Gross Salary,Currency,Day Rate,Years of XP,Benefits,What is your employment status?
19/02/2019,FR,ASSOCIATE PRODUCER,F,Montpellier,"28,000 €",EUR,,1,"Ticket resto, RTT, 50% transports, CE, Panier fruits, Mutuelle",CDD
19/02/2019,FR,ASSOCIATE PRODUCER,F,Montpellier,"30,200 €",EUR,,2,"Ticket resto, RTT, 50% transports, CE, Panier fruits, Mutuelle",CDI
19/02/2019,FR,ASSOCIATE PRODUCER,H,Montpellier,"33,000 €",EUR,,4,,
19/02/2019,FR,ASSOCIATE PRODUCER,F,Paris,"27,000 €",EUR,,2,"tickets resto, 50% transports, mutuelle, jeux gratuits",CDI - 38h
19/02/2019,FR,ASSOCIATE PRODUCER,H,Paris,"27,000 €",EUR,,4,"Tickets Resto, Participation, polyvalence & variété tâches, jeux gratuits","CDI, 38H"
19/02/2019,FR,ASSOCIATE PRODUCER,H,Paris,"29,000 €",EUR,,3,,CDI 39h
21/02/2019,FR,ASSOCIATE PRODUCER,H,Paris,"34,000 €",EUR,,3,"Mituelle, 50 % transport, tres bon cadre de travail",CDD
19/02/2019,FR,ASSOCIATE PRODUCER,F,Paris,"35,000 €",EUR,,1,Mutuelle + 50% transports + 50%TIckets restos + épargne entreprise,CDI - 39h
19/02/2019,FR,ASSOCIATE PRODUCER,H,Paris,"40,000 €",EUR,,7,"Tickets resto, RTT, 50% transport, CE, 50% Mutuelle ",CDI - Cadre
18/02/2019,FR,ASSOCIATE PRODUCER,F,Paris,"40,000 €",EUR,,12,,Salarié - Cadre
21/02/2019,FR,ASSOCIATE PRODUCER,F,Paris,"44,000 €",EUR,,14,"Tickets resto, RTT, 50% transport, CE, 50% Mutuelle ",CDD - Cadre
22/03/2019,FR,ASSOCIATE PRODUCER,H,Paris,"45,000 €",EUR,,4,"bonus de rentabilité, jeux gratuits",CDI 37.5H
11/02/2020,FR,ASSOCIATE PRODUCER,H,Paris,"26,000 €",EUR,,1,"Ticket resto, 50% transport, mutuelle",CDD - 38h
06/06/2020,FR,ASSOCIATE PRODUCER,F,Paris,"29,000 €",EUR,,0,"Epargne d'entreprise, horaires flexibles",CDI 35h
05/03/2019,FR,ASSOCIATE PRODUCER,H,Paris,"30,000 €",EUR,,2,"Ticket restau, mutuelle et 50% transports ",CDD - Cadre
04/09/2019,FR,ASSOCIATE PRODUCER,F,Lyon,"31,200 €",EUR,,3,"Tickets Restaurants (9€), 50% transport, mutuelle, cadre, prime projet/intéressement/participation",CDI 
07/09/2020,FR,ASSOCIATE PRODUCER,F,Paris,"30,000 €",EUR,,1,"50% transports, prime vacances, bonus de fin de projet, fruits et boissons",CDI
01/02/2022,FR,ASSOCIATE PRODUCER,H,Paris,"38,000 €",EUR,,<1,"50% transports, 60% mutuelle, CE, prime de participation, RTT",CDI
16/02/2022,FR,ASSOCIATE PRODUCER,F,Lyon,"28,000 €",EUR,,2,"50% transports, 90% mutuelle, prime de participation, RTT",CDD
22/02/2022,FR,BRAND MANAGER,H,Paris,45 000 €,EUR,,5,"Télétravail partiel, intéressement, 1 RTT par mois (contrat 37h)",CDI - Cadre 37h
18/02/2019,FR,C++ PROGRAMMER MAC,H,Londres,"21,000 €",EUR,,0,"Sodas, fruits, flexitime et plus de jours de vacances avec l'ancienneté",Stage de fin d'étude suivi d'une offre d'embauche à 28 k
05/02/2021,FR,CHARACTER ARTIST,F,Paris,"39,000 €",EUR,,3.5,,Freelance (+/- 35h semaine)
18/02/2019,FR,CHARACTER ARTIST,H,Paris,"26,000 €",EUR,,1.5,"Tickets resto, 50% transports, mutuelle",
18/02/2019,FR,CHARACTER ARTIST,F,Paris,"28,000 €",EUR,,1,B,CDD
20/02/2019,FR,CHARACTER ARTIST,H,Paris,"33,000 €",EUR,,3.5,"Tickets resto, 50% transports, mutuelle","CDI 37,5h (1RTT par mois)"
21/02/2019,FR,CHARACTER ARTIST,H,Paris,"37,000 €",EUR,,5,"50% transports, mutuelle, 1 jeu gratuit par mois, snacks, boissons",CDI 39h
12/09/2020,FR,CHARACTER ARTIST,F,Paris,"30,000 €",EUR,,2,"Tickets resto, 50% transports, mutuelle",CDD
06/08/2020,FR,CHEF DE PRODUIT,H,Montpellier,"38,000 €",EUR,,7,"50% Transport, 50% Restau, mutuelle, prime résultat 5k€, primes exceptionnelles, PEE",CDI - Cadre
18/02/2019,FR,CHEF DE PROJET,H,Bordeaux,,EUR,,12,"Tickets resto, mutuelle, CE, prime d'intéressement",CDI - Cadre
18/02/2019,FR,CHEF DE PROJET,F,Lyon,"28,000 €",EUR,,2,"Tickets restos, mutuelle, 50% transports, prime d'intéressement + bénefs, réduction produits partenaires",
15/07/2019,FR,CHEF DE PROJET,F,Montpellier,"27,250 €",EUR,,3,"Horaires flexibles, 100 % Mutuelle + Mutuelle complémentaire, prime de Noël, Deliveroo Business 2RTT / mois",CDI - 35H 
21/02/2019,FR,CHEF DE PROJET,H,Montpellier,"55,000 €",EUR,,15,,CDI / fondateur studio
18/02/2019,FR,CHEF DE PROJET,H,Paris,"35,000 €",EUR,,1,"Tickets restos, 50% transports, avantages divers (CE, reduction loisirs, jeux gratuits...)","Bonus sur objectifs inclus dans le salaire, intéressement"
18/02/2019,FR,CHEF DE PROJET,H,Paris,"51,000 €",EUR,,5,,
10/12/2019,FR,CHEF DE PROJET,F,Rennes,"15,600 €",EUR,,1,,Contrat d'apprentissage
18/02/2019,FR,CINEMATIC & CAMERA DÉVELOPPEUR,H,Paris,"37,800 €",EUR,,5,"Tickets restau (50%), titre transport (50%), CE, 1 RTT / mois, panier de fruit 1 fois / semaine, cheque cadeau a Noel",
22/02/2022,FR,CINEMATIC ARTIST/CAMERA 3D,F,Paris,29 160 €,EUR,,1,"(salaire contrat 40H) Ticket resto, mutuelle prise en charge à 70%",CDD
18/02/2019,FR,CINEMATIC ARTIST/REAL,H,Paris,"30,000 €",EUR,,3.5,"Tickets restos, 50% transports,Mutuelle",
18/02/2019,FR,COMMUNICATION COORDINATOR,H,Paris,"35,000 €",EUR,,7,"Tickets restos, 50% transports, avantages divers (CE, reduction loisirs, jeux gratuits...), 1 RTT par mois","Bonus sur objectifs inclus dans le salaire, intéressement"
06/02/2028,FR,COMMUNICATION MANAGER,F,Paris,"31,000 €",EUR,,9,"Tickets resto, mutuelle, transports","CDI - Cadre, intéressement"
03/09/2021,FR,COMMUNICATION MANAGER,F,Montpellier,"21,000 €",EUR,,3,"Tickets resto, mutuelle, transports +1000€/an de primes",CDI
28/01/2021,FR,COMMUNICATION SPECIALIST,F,Paris,"35,200 €",EUR,,4,"Ticket resto, 50% transports, mutuelle, CE, prime vacances, primes participation intéressement, prime sur objectif",CDI - Cadre
19/02/2019,FR,COMMUNITY & CONTENT MANAGER,F,Paris,"31,500 €",EUR,,9,Tickets resto + 50% transports + mutuelle + CE,CDI - Cadre
18/02/2019,FR,COMMUNITY COORDINATOR,F,Lille,"24,000 €",EUR,,8,"Tickets restau, prime vacances, prime aux bénéfices, chèques cadeaux (Noël)",
23/06/2020,FR,COMMUNITY EXPERIENCE MANAGER,F,Province,"36,000 €",EUR,,3,"Tickets resto, mutuelle, transports",CDI - Cadre
18/02/2019,FR,COMMUNITY MANAGER,H,Lille,"22,800 €",EUR,,2,"Tickets restau, prime vacances, prime aux bénéfices, chèques cadeaux (Noël)",
18/02/2019,FR,COMMUNITY MANAGER,F,Lille,"30,000 €",EUR,,1,que dalle,Freelance
18/02/2019,FR,COMMUNITY MANAGER,F,Lyon,"30,000 €",EUR,,9,"Tickets restos, mutuelle, 50% transports, prime d'intéressement + bénefs, réduction produits partenaires CE, 1 RTT / mois, panier de fruit 1 fois / semaine, cheque cadeau a Noel",Bonus sur objectifs inclus dans le salaire
25/02/2019,FR,COMMUNITY MANAGER,H,Nantes,"19,600 €",EUR,,1.5,Mutuelle + Tickets restau,CDI
