Timestamp,Survey,Job Title,What is your employment status?,City,Gross Salary,Currency,What percentage salary increase did you receive in July 2020?,Additional Comments,What was your most recent performance rating?,Sector
7/31/2020 15:24:14,BL,Game Designer,Full Time Employee,Irvine,82000,USD,2%,"""Average"" review- did not over or under perform.",,AAA
7/31/2020 15:25:25,BL,Associate Program Manager,Full Time Employee,Irvine,"65,000",USD,4,I got a high last year and I'm at 12% range penetration after the raise,,AAA
7/31/2020 15:25:37,BL,,Full Time Employee,Irvine,"$95,000",USD,5%,,,AAA
7/31/2020 15:26:10,BL,Software Engineer,Full Time Employee,Irvine,"$100,000",USD,> 10%,Salary increase includes promotion,,AAA
7/31/2020 15:26:31,BL,Game Designer,Full Time Employee,Irvine,$41/hr,USD,1%,,,AAA
7/31/2020 15:26:38,BL,Associate User Researcher,Full Time Employee,Irvine,69160,USD,1.2,The time I spent contracting was not considered to be part of my time spent employed at Blizzard.,,AAA
7/31/2020 15:26:41,BL,Test Lead II,Full Time Employee,Irvine,"95,200",USD,2%,feels high until you realize how far it doesn't go and what the going rate is at other places. ,,AAA
7/31/2020 15:27:16,BL,Animator,Full Time Employee,Irvine,"$89,000",USD,2.50%,,,AAA
7/31/2020 15:27:27,BL,User Researcher,Full Time Employee,Irvine,"$94,000",USD,7.3% (with promotion),,,AAA
7/31/2020 15:27:56,BL,Test Analyst,Full Time Employee,Irvine,$25.48/hr,USD,N/A,,,AAA
7/31/2020 15:28:27,BL,Senior Game Producer II,Full Time Employee,Irvine,"142,000.00",USD,10% (for a promotion Senior I to Senior II) ,,,AAA
7/31/2020 15:28:37,BL,Associate Game Designer,Full Time Employee,Irvine,"$68,000",USD,2%,,,AAA
7/31/2020 15:29:03,BL,Senior QA Analyst,Full Time Employee,Irvine,53000,USD,11%,Only went up that high because I got a promotion. Even as a senior I know some regular TA make more than I do. ,,AAA
7/31/2020 15:29:40,BL,Senior VFX Artist,Full Time Employee,Irvine,104000,USD,10,Salary increase includes merit raise + promotion,,AAA
7/31/2020 15:32:54,BL,Senior Administrative Assistant ,Full Time Employee,Irvine,"$57,000",USD,,,,AAA
7/31/2020 15:33:08,BL,Senior Test Analyst I,Full Time Employee,Irvine,"65,000",USD,2.50%,I was a high performer.,,AAA
7/31/2020 15:41:30,BL,Tester,Contractor,Irvine,18/hr,USD,N/A,"New hire, no prior experience, fresh college grad",,AAA
7/31/2020 15:42:43,BL,Senior Test Analyst,Full Time Employee,Irvine,"55,000",USD,0,,,AAA
7/31/2020 15:42:59,BL,Producer,Full Time Employee,Irvine,82000,USD,2%,,,AAA
7/31/2020 15:48:28,BL,Senior Program Manager,Full Time Employee,Irvine,100000,USD,3,,,AAA
7/31/2020 15:50:20,BL,Associate Character Artist,Full Time Employee,Irvine,65000,USD,newer hire unknown ,,,AAA
7/31/2020 15:51:46,BL,Technical Writer,Full Time Employee,Irvine,"$68,869",USD,6%,,,AAA
7/31/2020 15:52:14,BL,Senior Test Analyst,Full Time Employee,Irvine,"60,902",USD,1.5,,,AAA
7/31/2020 15:54:10,BL,Senior I VFX Artist,Full Time Employee,Irvine,"$117,000",USD,3%,"""High"" performance rating/review",,AAA
7/31/2020 15:54:23,BL,Choose not to disclose,Contractor,Irvine,"$80,000 (rounded)",USD,0%,Nothing that isn't identifying.,,AAA
7/31/2020 15:54:42,BL,Test Analyst,Full Time Employee,Irvine,"48,610",USD,1.3,,,AAA
7/31/2020 15:55:33,BL,Game Designer,Full Time Employee,Irvine,"87, 298",USD,4,,,AAA
7/31/2020 15:55:38,BL,Senior Producer,Full Time Employee,Irvine,119000,USD,1.80%,,,AAA
